LA,14301,HH,M,2000-01-01T07:00:00+07:00,1.46,m     , O
LA,14301,HH,M,2000-02-04T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-02-05T07:00:00+07:00,0.97,m     , O
LA,14301,HH,M,2000-02-06T07:00:00+07:00,0.98,m     , O
LA,14301,HH,M,2000-02-07T07:00:00+07:00,0.97,m     , O
LA,14301,HH,M,2000-02-08T07:00:00+07:00,0.95,m     , O
LA,14301,HH,M,2000-02-09T07:00:00+07:00,0.94,m     , O
LA,14301,HH,M,2000-02-10T07:00:00+07:00,0.95,m     , O
LA,14301,HH,M,2000-02-11T07:00:00+07:00,0.94,m     , O
LA,14301,HH,M,2000-02-12T07:00:00+07:00,0.94,m     , O
LA,14301,HH,M,2000-02-13T07:00:00+07:00,0.94,m     , O
LA,14301,HH,M,2000-02-14T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-02-15T07:00:00+07:00,1,m     , O
LA,14301,HH,M,2000-02-16T07:00:00+07:00,1.05,m     , O
LA,14301,HH,M,2000-02-17T07:00:00+07:00,1.08,m     , O
LA,14301,HH,M,2000-02-18T07:00:00+07:00,1.06,m     , O
LA,14301,HH,M,2000-02-19T07:00:00+07:00,1.03,m     , O
LA,14301,HH,M,2000-02-20T07:00:00+07:00,0.99,m     , O
LA,14301,HH,M,2000-02-21T07:00:00+07:00,0.95,m     , O
LA,14301,HH,M,2000-02-22T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-02-23T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-02-24T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-02-25T07:00:00+07:00,0.9,m     , O
LA,14301,HH,M,2000-02-26T07:00:00+07:00,0.89,m     , O
LA,14301,HH,M,2000-02-27T07:00:00+07:00,0.88,m     , O
LA,14301,HH,M,2000-02-28T07:00:00+07:00,0.87,m     , O
LA,14301,HH,M,2000-02-29T07:00:00+07:00,0.86,m     , O
LA,14301,HH,M,2000-03-01T07:00:00+07:00,0.89,m     , O
LA,14301,HH,M,2000-03-02T07:00:00+07:00,0.89,m     , O
LA,14301,HH,M,2000-03-03T07:00:00+07:00,0.91,m     , O
LA,14301,HH,M,2000-03-04T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-03-05T07:00:00+07:00,0.9,m     , O
LA,14301,HH,M,2000-03-06T07:00:00+07:00,0.9,m     , O
LA,14301,HH,M,2000-03-07T07:00:00+07:00,0.87,m     , O
LA,14301,HH,M,2000-03-08T07:00:00+07:00,0.87,m     , O
LA,14301,HH,M,2000-03-09T07:00:00+07:00,0.89,m     , O
LA,14301,HH,M,2000-03-10T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-03-11T07:00:00+07:00,0.93,m     , O
LA,14301,HH,M,2000-03-12T07:00:00+07:00,0.95,m     , O
LA,14301,HH,M,2000-03-13T07:00:00+07:00,1,m     , O
LA,14301,HH,M,2000-03-14T07:00:00+07:00,1.05,m     , O
LA,14301,HH,M,2000-03-15T07:00:00+07:00,1.11,m     , O
LA,14301,HH,M,2000-03-16T07:00:00+07:00,1.09,m     , O
LA,14301,HH,M,2000-03-17T07:00:00+07:00,1.06,m     , O
LA,14301,HH,M,2000-03-18T07:00:00+07:00,1.01,m     , O
LA,14301,HH,M,2000-03-19T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-03-20T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-03-21T07:00:00+07:00,0.89,m     , O
LA,14301,HH,M,2000-03-22T07:00:00+07:00,0.87,m     , O
LA,14301,HH,M,2000-03-23T07:00:00+07:00,0.86,m     , O
LA,14301,HH,M,2000-03-24T07:00:00+07:00,0.82,m     , O
LA,14301,HH,M,2000-03-25T07:00:00+07:00,0.82,m     , O
LA,14301,HH,M,2000-03-26T07:00:00+07:00,0.8,m     , O
LA,14301,HH,M,2000-03-27T07:00:00+07:00,0.8,m     , O
LA,14301,HH,M,2000-03-28T07:00:00+07:00,0.8,m     , O
LA,14301,HH,M,2000-03-29T07:00:00+07:00,0.78,m     , O
LA,14301,HH,M,2000-03-30T07:00:00+07:00,0.78,m     , O
LA,14301,HH,M,2000-03-31T07:00:00+07:00,0.77,m     , O
LA,14301,HH,M,2000-04-01T07:00:00+07:00,0.76,m     , O
LA,14301,HH,M,2000-04-02T07:00:00+07:00,0.76,m     , O
LA,14301,HH,M,2000-04-03T07:00:00+07:00,0.74,m     , O
LA,14301,HH,M,2000-04-04T07:00:00+07:00,0.74,m     , O
LA,14301,HH,M,2000-04-05T07:00:00+07:00,0.74,m     , O
LA,14301,HH,M,2000-04-06T07:00:00+07:00,0.72,m     , O
LA,14301,HH,M,2000-04-07T07:00:00+07:00,0.73,m     , O
LA,14301,HH,M,2000-04-08T07:00:00+07:00,0.74,m     , O
LA,14301,HH,M,2000-04-09T07:00:00+07:00,0.74,m     , O
LA,14301,HH,M,2000-04-10T07:00:00+07:00,0.75,m     , O
LA,14301,HH,M,2000-04-11T07:00:00+07:00,0.76,m     , O
LA,14301,HH,M,2000-04-12T07:00:00+07:00,0.81,m     , O
LA,14301,HH,M,2000-04-13T07:00:00+07:00,0.9,m     , O
LA,14301,HH,M,2000-04-14T07:00:00+07:00,0.92,m     , O
LA,14301,HH,M,2000-04-15T07:00:00+07:00,0.93,m     , O
LA,14301,HH,M,2000-04-16T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-04-17T07:00:00+07:00,1.04,m     , O
LA,14301,HH,M,2000-04-18T07:00:00+07:00,1.06,m     , O
LA,14301,HH,M,2000-04-19T07:00:00+07:00,1.04,m     , O
LA,14301,HH,M,2000-04-20T07:00:00+07:00,1.01,m     , O
LA,14301,HH,M,2000-04-21T07:00:00+07:00,0.98,m     , O
LA,14301,HH,M,2000-04-22T07:00:00+07:00,0.96,m     , O
LA,14301,HH,M,2000-04-23T07:00:00+07:00,1.01,m     , O
LA,14301,HH,M,2000-04-24T07:00:00+07:00,1.06,m     , O
LA,14301,HH,M,2000-04-25T07:00:00+07:00,1.09,m     , O
LA,14301,HH,M,2000-04-26T07:00:00+07:00,1.13,m     , O
LA,14301,HH,M,2000-04-27T07:00:00+07:00,1.15,m     , O
LA,14301,HH,M,2000-04-28T07:00:00+07:00,1.19,m     , O
LA,14301,HH,M,2000-04-29T07:00:00+07:00,1.2,m     , O
LA,14301,HH,M,2000-04-30T07:00:00+07:00,1.21,m     , O
LA,14301,HH,M,2000-05-01T07:00:00+07:00,1.2,m     , O
LA,14301,HH,M,2000-05-02T07:00:00+07:00,1.21,m     , O
LA,14301,HH,M,2000-05-03T07:00:00+07:00,1.24,m     , O
LA,14301,HH,M,2000-05-04T07:00:00+07:00,1.32,m     , O
LA,14301,HH,M,2000-05-05T07:00:00+07:00,1.37,m     , O
LA,14301,HH,M,2000-05-06T07:00:00+07:00,1.34,m     , O
LA,14301,HH,M,2000-05-07T07:00:00+07:00,1.35,m     , O
LA,14301,HH,M,2000-05-08T07:00:00+07:00,1.39,m     , O
LA,14301,HH,M,2000-05-09T07:00:00+07:00,1.42,m     , O
LA,14301,HH,M,2000-05-10T07:00:00+07:00,1.52,m     , O
LA,14301,HH,M,2000-05-11T07:00:00+07:00,1.61,m     , O
LA,14301,HH,M,2000-05-12T07:00:00+07:00,1.86,m     , O
LA,14301,HH,M,2000-05-13T07:00:00+07:00,1.91,m     , O
LA,14301,HH,M,2000-05-14T07:00:00+07:00,1.97,m     , O
LA,14301,HH,M,2000-05-15T07:00:00+07:00,2.19,m     , O
LA,14301,HH,M,2000-05-16T07:00:00+07:00,2.29,m     , O
LA,14301,HH,M,2000-05-17T07:00:00+07:00,2.31,m     , O
LA,14301,HH,M,2000-05-18T07:00:00+07:00,2.28,m     , O
LA,14301,HH,M,2000-05-19T07:00:00+07:00,2.3,m     , O
LA,14301,HH,M,2000-05-20T07:00:00+07:00,2.49,m     , O
LA,14301,HH,M,2000-05-21T07:00:00+07:00,3.03,m     , O
LA,14301,HH,M,2000-05-22T07:00:00+07:00,3.86,m     , O
LA,14301,HH,M,2000-05-23T07:00:00+07:00,4.53,m     , O
LA,14301,HH,M,2000-05-24T07:00:00+07:00,4.63,m     , O
LA,14301,HH,M,2000-05-25T07:00:00+07:00,4.46,m     , O
LA,14301,HH,M,2000-05-26T07:00:00+07:00,4.4,m     , O
LA,14301,HH,M,2000-05-27T07:00:00+07:00,4.51,m     , O
LA,14301,HH,M,2000-05-28T07:00:00+07:00,4.45,m     , O
LA,14301,HH,M,2000-05-29T07:00:00+07:00,4.39,m     , O
LA,14301,HH,M,2000-05-30T07:00:00+07:00,4.29,m     , O
LA,14301,HH,M,2000-05-31T07:00:00+07:00,4.2,m     , O
LA,14301,HH,M,2000-06-01T07:00:00+07:00,4.22,m     , O
LA,14301,HH,M,2000-06-02T07:00:00+07:00,4.44,m     , O
LA,14301,HH,M,2000-06-03T07:00:00+07:00,4.27,m     , O
LA,14301,HH,M,2000-06-04T07:00:00+07:00,3.86,m     , O
LA,14301,HH,M,2000-06-05T07:00:00+07:00,3.65,m     , O
LA,14301,HH,M,2000-06-06T07:00:00+07:00,3.53,m     , O
LA,14301,HH,M,2000-06-07T07:00:00+07:00,3.5,m     , O
LA,14301,HH,M,2000-06-08T07:00:00+07:00,3.5,m     , O
LA,14301,HH,M,2000-06-09T07:00:00+07:00,3.48,m     , O
LA,14301,HH,M,2000-06-10T07:00:00+07:00,3.44,m     , O
LA,14301,HH,M,2000-06-11T07:00:00+07:00,3.42,m     , O
LA,14301,HH,M,2000-06-12T07:00:00+07:00,3.54,m     , O
LA,14301,HH,M,2000-06-13T07:00:00+07:00,3.7,m     , O
LA,14301,HH,M,2000-06-14T07:00:00+07:00,3.89,m     , O
LA,14301,HH,M,2000-06-15T07:00:00+07:00,4.31,m     , O
LA,14301,HH,M,2000-06-16T07:00:00+07:00,4.55,m     , O
LA,14301,HH,M,2000-06-17T07:00:00+07:00,4.83,m     , O
LA,14301,HH,M,2000-06-18T07:00:00+07:00,5.27,m     , O
LA,14301,HH,M,2000-06-19T07:00:00+07:00,5.77,m     , O
LA,14301,HH,M,2000-06-20T07:00:00+07:00,5.95,m     , O
LA,14301,HH,M,2000-06-21T07:00:00+07:00,5.91,m     , O
LA,14301,HH,M,2000-06-22T07:00:00+07:00,5.74,m     , O
LA,14301,HH,M,2000-06-23T07:00:00+07:00,5.8,m     , O
LA,14301,HH,M,2000-06-24T07:00:00+07:00,5.97,m     , O
LA,14301,HH,M,2000-06-25T07:00:00+07:00,6.39,m     , O
LA,14301,HH,M,2000-06-26T07:00:00+07:00,6.6,m     , O
LA,14301,HH,M,2000-06-27T07:00:00+07:00,6.61,m     , O
LA,14301,HH,M,2000-06-28T07:00:00+07:00,6.54,m     , O
LA,14301,HH,M,2000-06-29T07:00:00+07:00,6.5,m     , O
LA,14301,HH,M,2000-06-30T07:00:00+07:00,6.48,m     , O
LA,14301,HH,M,2000-07-01T07:00:00+07:00,6.44,m     , O
LA,14301,HH,M,2000-07-02T07:00:00+07:00,6.24,m     , O
LA,14301,HH,M,2000-07-03T07:00:00+07:00,6.02,m     , O
LA,14301,HH,M,2000-07-04T07:00:00+07:00,5.94,m     , O
LA,14301,HH,M,2000-07-05T07:00:00+07:00,5.75,m     , O
LA,14301,HH,M,2000-07-06T07:00:00+07:00,5.69,m     , O
LA,14301,HH,M,2000-07-07T07:00:00+07:00,5.95,m     , O
LA,14301,HH,M,2000-07-08T07:00:00+07:00,6.04,m     , O
LA,14301,HH,M,2000-07-09T07:00:00+07:00,6.03,m     , O
LA,14301,HH,M,2000-07-10T07:00:00+07:00,6.05,m     , O
LA,14301,HH,M,2000-07-11T07:00:00+07:00,6.06,m     , O
LA,14301,HH,M,2000-07-12T07:00:00+07:00,7.48,m     , O
LA,14301,HH,M,2000-07-13T07:00:00+07:00,7.71,m     , O
LA,14301,HH,M,2000-07-14T07:00:00+07:00,7.71,m     , O
LA,14301,HH,M,2000-07-15T07:00:00+07:00,7.8,m     , O
LA,14301,HH,M,2000-07-16T07:00:00+07:00,8.03,m     , O
LA,14301,HH,M,2000-07-17T07:00:00+07:00,8.29,m     , O
LA,14301,HH,M,2000-07-18T07:00:00+07:00,8.52,m     , O
LA,14301,HH,M,2000-07-19T07:00:00+07:00,8.6,m     , O
LA,14301,HH,M,2000-07-20T07:00:00+07:00,8.59,m     , O
LA,14301,HH,M,2000-07-21T07:00:00+07:00,8.44,m     , O
LA,14301,HH,M,2000-07-22T07:00:00+07:00,8.17,m     , O
LA,14301,HH,M,2000-07-23T07:00:00+07:00,7.97,m     , O
LA,14301,HH,M,2000-07-24T07:00:00+07:00,7.88,m     , O
LA,14301,HH,M,2000-07-25T07:00:00+07:00,7.82,m     , O
LA,14301,HH,M,2000-07-26T07:00:00+07:00,7.84,m     , O
LA,14301,HH,M,2000-07-27T07:00:00+07:00,7.82,m     , O
LA,14301,HH,M,2000-07-28T07:00:00+07:00,7.87,m     , O
LA,14301,HH,M,2000-07-29T07:00:00+07:00,7.82,m     , O
LA,14301,HH,M,2000-07-30T07:00:00+07:00,7.7,m     , O
LA,14301,HH,M,2000-07-31T07:00:00+07:00,7.61,m     , O
LA,14301,HH,M,2000-08-01T07:00:00+07:00,7.52,m     , O
LA,14301,HH,M,2000-08-02T07:00:00+07:00,7.44,m     , O
LA,14301,HH,M,2000-08-03T07:00:00+07:00,7.35,m     , O
LA,14301,HH,M,2000-08-04T07:00:00+07:00,7.27,m     , O
LA,14301,HH,M,2000-08-05T07:00:00+07:00,7.16,m     , O
LA,14301,HH,M,2000-08-06T07:00:00+07:00,7.11,m     , O
LA,14301,HH,M,2000-08-07T07:00:00+07:00,7.11,m     , O
LA,14301,HH,M,2000-08-08T07:00:00+07:00,7.11,m     , O
LA,14301,HH,M,2000-08-09T07:00:00+07:00,7.12,m     , O
LA,14301,HH,M,2000-08-10T07:00:00+07:00,7.1,m     , O
LA,14301,HH,M,2000-08-11T07:00:00+07:00,7.05,m     , O
LA,14301,HH,M,2000-08-12T07:00:00+07:00,6.92,m     , O
LA,14301,HH,M,2000-08-13T07:00:00+07:00,6.85,m     , O
LA,14301,HH,M,2000-08-14T07:00:00+07:00,6.8,m     , O
LA,14301,HH,M,2000-08-15T07:00:00+07:00,6.79,m     , O
LA,14301,HH,M,2000-08-16T07:00:00+07:00,6.8,m     , O
LA,14301,HH,M,2000-08-17T07:00:00+07:00,6.8,m     , O
LA,14301,HH,M,2000-08-18T07:00:00+07:00,6.75,m     , O
LA,14301,HH,M,2000-08-19T07:00:00+07:00,6.76,m     , O
LA,14301,HH,M,2000-08-20T07:00:00+07:00,6.76,m     , O
LA,14301,HH,M,2000-08-21T07:00:00+07:00,6.43,m     , O
LA,14301,HH,M,2000-08-22T07:00:00+07:00,6.25,m     , O
LA,14301,HH,M,2000-08-23T07:00:00+07:00,7.19,m     , O
LA,14301,HH,M,2000-08-24T07:00:00+07:00,7.61,m     , O
LA,14301,HH,M,2000-08-25T07:00:00+07:00,7.74,m     , O
LA,14301,HH,M,2000-08-26T07:00:00+07:00,7.49,m     , O
LA,14301,HH,M,2000-08-27T07:00:00+07:00,7.64,m     , O
LA,14301,HH,M,2000-08-28T07:00:00+07:00,7.38,m     , O
LA,14301,HH,M,2000-08-29T07:00:00+07:00,7.2,m     , O
LA,14301,HH,M,2000-08-30T07:00:00+07:00,7.25,m     , O
LA,14301,HH,M,2000-08-31T07:00:00+07:00,7.42,m     , O
LA,14301,HH,M,2000-09-01T07:00:00+07:00,7.63,m     , O
LA,14301,HH,M,2000-09-02T07:00:00+07:00,7.96,m     , O
LA,14301,HH,M,2000-09-03T07:00:00+07:00,8.32,m     , O
LA,14301,HH,M,2000-09-04T07:00:00+07:00,8.39,m     , O
LA,14301,HH,M,2000-09-05T07:00:00+07:00,8.33,m     , O
LA,14301,HH,M,2000-09-06T07:00:00+07:00,8.47,m     , O
LA,14301,HH,M,2000-09-07T07:00:00+07:00,8.74,m     , O
LA,14301,HH,M,2000-09-08T07:00:00+07:00,8.93,m     , O
LA,14301,HH,M,2000-09-09T07:00:00+07:00,8.98,m     , O
LA,14301,HH,M,2000-09-10T07:00:00+07:00,8.98,m     , O
LA,14301,HH,M,2000-09-11T07:00:00+07:00,8.87,m     , O
LA,14301,HH,M,2000-09-12T07:00:00+07:00,9.07,m     , O
LA,14301,HH,M,2000-09-13T07:00:00+07:00,9.24,m     , O
LA,14301,HH,M,2000-09-14T07:00:00+07:00,9.39,m     , O
LA,14301,HH,M,2000-09-15T07:00:00+07:00,9.4,m     , O
LA,14301,HH,M,2000-09-16T07:00:00+07:00,9.37,m     , O
LA,14301,HH,M,2000-09-17T07:00:00+07:00,9.29,m     , O
LA,14301,HH,M,2000-09-18T07:00:00+07:00,9.15,m     , O
LA,14301,HH,M,2000-09-19T07:00:00+07:00,9.05,m     , O
LA,14301,HH,M,2000-09-20T07:00:00+07:00,8.83,m     , O
LA,14301,HH,M,2000-09-21T07:00:00+07:00,8.64,m     , O
LA,14301,HH,M,2000-09-22T07:00:00+07:00,8.4,m     , O
LA,14301,HH,M,2000-09-23T07:00:00+07:00,8.05,m     , O
LA,14301,HH,M,2000-09-24T07:00:00+07:00,7.66,m     , O
LA,14301,HH,M,2000-09-25T07:00:00+07:00,7.33,m     , O
LA,14301,HH,M,2000-09-26T07:00:00+07:00,7.05,m     , O
LA,14301,HH,M,2000-09-27T07:00:00+07:00,6.8,m     , O
LA,14301,HH,M,2000-09-28T07:00:00+07:00,6.64,m     , O
LA,14301,HH,M,2000-09-29T07:00:00+07:00,6.53,m     , O
LA,14301,HH,M,2000-09-30T07:00:00+07:00,6.41,m     , O
LA,14301,HH,M,2000-10-01T07:00:00+07:00,6.3,m     , O
LA,14301,HH,M,2000-10-02T07:00:00+07:00,6.24,m     , O
LA,14301,HH,M,2000-10-03T07:00:00+07:00,6.11,m     , O
LA,14301,HH,M,2000-10-04T07:00:00+07:00,6.04,m     , O
LA,14301,HH,M,2000-10-05T07:00:00+07:00,5.82,m     , O
LA,14301,HH,M,2000-10-06T07:00:00+07:00,5.6,m     , O
LA,14301,HH,M,2000-10-07T07:00:00+07:00,5.47,m     , O
LA,14301,HH,M,2000-10-08T07:00:00+07:00,5.31,m     , O
LA,14301,HH,M,2000-10-09T07:00:00+07:00,5.15,m     , O
LA,14301,HH,M,2000-10-10T07:00:00+07:00,5.01,m     , O
LA,14301,HH,M,2000-10-11T07:00:00+07:00,4.93,m     , O
LA,14301,HH,M,2000-10-12T07:00:00+07:00,4.95,m     , O
LA,14301,HH,M,2000-10-13T07:00:00+07:00,4.94,m     , O
LA,14301,HH,M,2000-10-14T07:00:00+07:00,4.98,m     , O
LA,14301,HH,M,2000-10-15T07:00:00+07:00,5.09,m     , O
LA,14301,HH,M,2000-10-16T07:00:00+07:00,5.1,m     , O
LA,14301,HH,M,2000-10-17T07:00:00+07:00,4.99,m     , O
LA,14301,HH,M,2000-10-18T07:00:00+07:00,4.75,m     , O
LA,14301,HH,M,2000-10-19T07:00:00+07:00,4.54,m     , O
LA,14301,HH,M,2000-10-20T07:00:00+07:00,4.34,m     , O
LA,14301,HH,M,2000-10-21T07:00:00+07:00,4.22,m     , O
LA,14301,HH,M,2000-10-22T07:00:00+07:00,4.1,m     , O
LA,14301,HH,M,2000-10-23T07:00:00+07:00,4.07,m     , O
LA,14301,HH,M,2000-10-24T07:00:00+07:00,4.03,m     , O
LA,14301,HH,M,2000-10-25T07:00:00+07:00,3.91,m     , O
LA,14301,HH,M,2000-10-26T07:00:00+07:00,3.78,m     , O
LA,14301,HH,M,2000-10-27T07:00:00+07:00,3.73,m     , O
LA,14301,HH,M,2000-10-28T07:00:00+07:00,3.67,m     , O
LA,14301,HH,M,2000-10-29T07:00:00+07:00,3.64,m     , O
LA,14301,HH,M,2000-10-30T07:00:00+07:00,3.62,m     , O
LA,14301,HH,M,2000-10-31T07:00:00+07:00,3.73,m     , O
LA,14301,HH,M,2000-11-01T07:00:00+07:00,3.81,m     , O
LA,14301,HH,M,2000-11-02T07:00:00+07:00,3.77,m     , O
LA,14301,HH,M,2000-11-03T07:00:00+07:00,3.68,m     , O
LA,14301,HH,M,2000-11-04T07:00:00+07:00,3.54,m     , O
LA,14301,HH,M,2000-11-05T07:00:00+07:00,3.47,m     , O
LA,14301,HH,M,2000-11-06T07:00:00+07:00,3.41,m     , O
LA,14301,HH,M,2000-11-07T07:00:00+07:00,3.39,m     , O
LA,14301,HH,M,2000-11-08T07:00:00+07:00,3.31,m     , O
LA,14301,HH,M,2000-11-09T07:00:00+07:00,3.28,m     , O
LA,14301,HH,M,2000-11-10T07:00:00+07:00,3.27,m     , O
LA,14301,HH,M,2000-11-11T07:00:00+07:00,3.27,m     , O
LA,14301,HH,M,2000-11-12T07:00:00+07:00,3.26,m     , O
LA,14301,HH,M,2000-11-13T07:00:00+07:00,3.18,m     , O
LA,14301,HH,M,2000-11-14T07:00:00+07:00,2.97,m     , O
LA,14301,HH,M,2000-11-15T07:00:00+07:00,2.93,m     , O
LA,14301,HH,M,2000-11-16T07:00:00+07:00,2.78,m     , O
LA,14301,HH,M,2000-11-17T07:00:00+07:00,2.72,m     , O
LA,14301,HH,M,2000-11-18T07:00:00+07:00,2.67,m     , O
LA,14301,HH,M,2000-11-19T07:00:00+07:00,2.61,m     , O
LA,14301,HH,M,2000-11-20T07:00:00+07:00,2.57,m     , O
LA,14301,HH,M,2000-11-21T07:00:00+07:00,2.51,m     , O
LA,14301,HH,M,2000-11-22T07:00:00+07:00,2.47,m     , O
LA,14301,HH,M,2000-11-23T07:00:00+07:00,2.47,m     , O
LA,14301,HH,M,2000-11-24T07:00:00+07:00,2.41,m     , O
LA,14301,HH,M,2000-11-25T07:00:00+07:00,2.37,m     , O
LA,14301,HH,M,2000-11-26T07:00:00+07:00,2.3,m     , O
LA,14301,HH,M,2000-11-27T07:00:00+07:00,2.2,m     , O
LA,14301,HH,M,2000-11-28T07:00:00+07:00,2.19,m     , O
LA,14301,HH,M,2000-11-29T07:00:00+07:00,2.16,m     , O
LA,14301,HH,M,2000-11-30T07:00:00+07:00,2.09,m     , O
LA,14301,HH,M,2000-12-01T07:00:00+07:00,2.03,m     , O
LA,14301,HH,M,2000-12-02T07:00:00+07:00,1.99,m     , O
LA,14301,HH,M,2000-12-03T07:00:00+07:00,1.92,m     , O
LA,14301,HH,M,2000-12-04T07:00:00+07:00,1.88,m     , O
LA,14301,HH,M,2000-12-05T07:00:00+07:00,1.89,m     , O
LA,14301,HH,M,2000-12-06T07:00:00+07:00,1.82,m     , O
LA,14301,HH,M,2000-12-07T07:00:00+07:00,1.81,m     , O
LA,14301,HH,M,2000-12-08T07:00:00+07:00,1.77,m     , O
LA,14301,HH,M,2000-12-09T07:00:00+07:00,1.76,m     , O
LA,14301,HH,M,2000-12-10T07:00:00+07:00,1.72,m     , O
LA,14301,HH,M,2000-12-11T07:00:00+07:00,1.74,m     , O
LA,14301,HH,M,2000-12-12T07:00:00+07:00,1.7,m     , O
LA,14301,HH,M,2000-12-13T07:00:00+07:00,1.71,m     , O
LA,14301,HH,M,2000-12-14T07:00:00+07:00,1.7,m     , O
LA,14301,HH,M,2000-12-15T07:00:00+07:00,1.69,m     , O
LA,14301,HH,M,2000-12-16T07:00:00+07:00,1.7,m     , O
LA,14301,HH,M,2000-12-17T07:00:00+07:00,1.69,m     , O
LA,14301,HH,M,2000-12-18T07:00:00+07:00,1.68,m     , O
LA,14301,HH,M,2000-12-19T07:00:00+07:00,1.65,m     , O
LA,14301,HH,M,2000-12-20T07:00:00+07:00,1.59,m     , O
LA,14301,HH,M,2000-12-21T07:00:00+07:00,1.58,m     , O
LA,14301,HH,M,2000-12-22T07:00:00+07:00,1.56,m     , O
LA,14301,HH,M,2000-12-23T07:00:00+07:00,1.55,m     , O
LA,14301,HH,M,2000-12-24T07:00:00+07:00,1.53,m     , O
LA,14301,HH,M,2000-12-25T07:00:00+07:00,1.5,m     , O
LA,14301,HH,M,2000-12-26T07:00:00+07:00,1.49,m     , O
LA,14301,HH,M,2000-12-27T07:00:00+07:00,1.48,m     , O
LA,14301,HH,M,2000-12-28T07:00:00+07:00,1.49,m     , O
LA,14301,HH,M,2000-12-29T07:00:00+07:00,1.47,m     , O
LA,14301,HH,M,2000-12-30T07:00:00+07:00,1.42,m     , O
LA,14301,HH,M,2000-12-31T07:00:00+07:00,1.4,m     , O
LA,14301,HH,M,2001-01-01T07:00:00+07:00,1.4,m     , O
LA,14301,HH,M,2001-01-02T07:00:00+07:00,1.39,m     , O
LA,14301,HH,M,2001-01-03T07:00:00+07:00,1.39,m     , O
LA,14301,HH,M,2001-01-04T07:00:00+07:00,1.38,m     , O
LA,14301,HH,M,2001-01-05T07:00:00+07:00,1.38,m     , O
LA,14301,HH,M,2001-01-06T07:00:00+07:00,1.37,m     , O
LA,14301,HH,M,2001-01-07T07:00:00+07:00,1.33,m     , O
LA,14301,HH,M,2001-01-08T07:00:00+07:00,1.3,m     , O
LA,14301,HH,M,2001-01-09T07:00:00+07:00,1.3,m     , O
LA,14301,HH,M,2001-01-10T07:00:00+07:00,1.26,m     , O
LA,14301,HH,M,2001-01-11T07:00:00+07:00,1.18,m     , O
