LA,150609,HH,M,2009-01-01T07:00:00+07:00,2.94,m     , E
LA,150609,HH,M,2009-06-05T07:00:00+07:00,1.68,m     , O
LA,150609,HH,M,2009-06-06T07:00:00+07:00,1.61,m     , O
LA,150609,HH,M,2009-06-07T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-06-08T07:00:00+07:00,1.57,m     , O
LA,150609,HH,M,2009-06-09T07:00:00+07:00,1.62,m     , O
LA,150609,HH,M,2009-06-10T07:00:00+07:00,1.71,m     , O
LA,150609,HH,M,2009-06-11T07:00:00+07:00,1.67,m     , O
LA,150609,HH,M,2009-06-12T07:00:00+07:00,1.59,m     , O
LA,150609,HH,M,2009-06-13T07:00:00+07:00,1.55,m     , O
LA,150609,HH,M,2009-06-14T07:00:00+07:00,1.56,m     , O
LA,150609,HH,M,2009-06-15T07:00:00+07:00,1.63,m     , O
LA,150609,HH,M,2009-06-16T07:00:00+07:00,1.7,m     , O
LA,150609,HH,M,2009-06-17T07:00:00+07:00,1.69,m     , O
LA,150609,HH,M,2009-06-18T07:00:00+07:00,1.63,m     , O
LA,150609,HH,M,2009-06-19T07:00:00+07:00,1.6,m     , O
LA,150609,HH,M,2009-06-20T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-06-21T07:00:00+07:00,1.57,m     , O
LA,150609,HH,M,2009-06-22T07:00:00+07:00,1.55,m     , O
LA,150609,HH,M,2009-06-23T07:00:00+07:00,1.6,m     , O
LA,150609,HH,M,2009-06-24T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-06-25T07:00:00+07:00,1.56,m     , O
LA,150609,HH,M,2009-06-26T07:00:00+07:00,1.56,m     , O
LA,150609,HH,M,2009-06-27T07:00:00+07:00,1.57,m     , O
LA,150609,HH,M,2009-06-28T07:00:00+07:00,1.61,m     , O
LA,150609,HH,M,2009-06-29T07:00:00+07:00,1.56,m     , O
LA,150609,HH,M,2009-06-30T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-07-01T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-07-02T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-07-03T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-07-04T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-07-05T07:00:00+07:00,1.55,m     , O
LA,150609,HH,M,2009-07-06T07:00:00+07:00,1.57,m     , O
LA,150609,HH,M,2009-07-07T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-07-08T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-07-09T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-07-10T07:00:00+07:00,1.56,m     , O
LA,150609,HH,M,2009-07-11T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-07-12T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-07-13T07:00:00+07:00,1.6,m     , O
LA,150609,HH,M,2009-07-14T07:00:00+07:00,1.74,m     , O
LA,150609,HH,M,2009-07-15T07:00:00+07:00,2.5,m     , O
LA,150609,HH,M,2009-07-16T07:00:00+07:00,3.39,m     , O
LA,150609,HH,M,2009-07-17T07:00:00+07:00,3.2,m     , O
LA,150609,HH,M,2009-07-18T07:00:00+07:00,2.61,m     , O
LA,150609,HH,M,2009-07-19T07:00:00+07:00,2.31,m     , O
LA,150609,HH,M,2009-07-20T07:00:00+07:00,2.36,m     , O
LA,150609,HH,M,2009-07-21T07:00:00+07:00,2.79,m     , O
LA,150609,HH,M,2009-07-22T07:00:00+07:00,2.63,m     , O
LA,150609,HH,M,2009-07-23T07:00:00+07:00,2.51,m     , O
LA,150609,HH,M,2009-07-24T07:00:00+07:00,2.49,m     , O
LA,150609,HH,M,2009-07-25T07:00:00+07:00,2.25,m     , O
LA,150609,HH,M,2009-07-26T07:00:00+07:00,2.28,m     , O
LA,150609,HH,M,2009-07-27T07:00:00+07:00,2.24,m     , O
LA,150609,HH,M,2009-07-28T07:00:00+07:00,2.37,m     , O
LA,150609,HH,M,2009-07-29T07:00:00+07:00,4.63,m     , O
LA,150609,HH,M,2009-07-30T07:00:00+07:00,6.83,m     , O
LA,150609,HH,M,2009-07-31T07:00:00+07:00,5.5,m     , O
LA,150609,HH,M,2009-08-01T07:00:00+07:00,5.15,m     , O
LA,150609,HH,M,2009-08-02T07:00:00+07:00,5.03,m     , O
LA,150609,HH,M,2009-08-03T07:00:00+07:00,4,m     , O
LA,150609,HH,M,2009-08-04T07:00:00+07:00,2.35,m     , O
LA,150609,HH,M,2009-08-05T07:00:00+07:00,2.06,m     , O
LA,150609,HH,M,2009-08-06T07:00:00+07:00,2,m     , O
LA,150609,HH,M,2009-08-07T07:00:00+07:00,1.92,m     , O
LA,150609,HH,M,2009-08-08T07:00:00+07:00,1.94,m     , O
LA,150609,HH,M,2009-08-09T07:00:00+07:00,2.2,m     , O
LA,150609,HH,M,2009-08-10T07:00:00+07:00,2,m     , O
LA,150609,HH,M,2009-08-11T07:00:00+07:00,1.91,m     , O
LA,150609,HH,M,2009-08-12T07:00:00+07:00,2.16,m     , O
LA,150609,HH,M,2009-08-13T07:00:00+07:00,3.68,m     , O
LA,150609,HH,M,2009-08-14T07:00:00+07:00,3.79,m     , O
LA,150609,HH,M,2009-08-15T07:00:00+07:00,3.62,m     , O
LA,150609,HH,M,2009-08-16T07:00:00+07:00,3.45,m     , O
LA,150609,HH,M,2009-08-17T07:00:00+07:00,2.42,m     , O
LA,150609,HH,M,2009-08-18T07:00:00+07:00,2.3,m     , O
LA,150609,HH,M,2009-08-19T07:00:00+07:00,2.13,m     , O
LA,150609,HH,M,2009-08-20T07:00:00+07:00,2.11,m     , O
LA,150609,HH,M,2009-08-21T07:00:00+07:00,2.08,m     , O
LA,150609,HH,M,2009-08-22T07:00:00+07:00,2.06,m     , O
LA,150609,HH,M,2009-08-23T07:00:00+07:00,2.06,m     , O
LA,150609,HH,M,2009-08-24T07:00:00+07:00,2.08,m     , O
LA,150609,HH,M,2009-08-25T07:00:00+07:00,2.32,m     , O
LA,150609,HH,M,2009-08-26T07:00:00+07:00,2.6,m     , O
LA,150609,HH,M,2009-08-27T07:00:00+07:00,2.4,m     , O
LA,150609,HH,M,2009-08-28T07:00:00+07:00,2.26,m     , O
LA,150609,HH,M,2009-08-29T07:00:00+07:00,2.1,m     , O
LA,150609,HH,M,2009-08-30T07:00:00+07:00,2.08,m     , O
LA,150609,HH,M,2009-08-31T07:00:00+07:00,2.25,m     , O
LA,150609,HH,M,2009-09-01T07:00:00+07:00,2.67,m     , O
LA,150609,HH,M,2009-09-02T07:00:00+07:00,2.6,m     , O
LA,150609,HH,M,2009-09-03T07:00:00+07:00,2.59,m     , O
LA,150609,HH,M,2009-09-04T07:00:00+07:00,4.74,m     , O
LA,150609,HH,M,2009-09-05T07:00:00+07:00,4.43,m     , O
LA,150609,HH,M,2009-09-06T07:00:00+07:00,4.69,m     , O
LA,150609,HH,M,2009-09-07T07:00:00+07:00,6.06,m     , O
LA,150609,HH,M,2009-09-08T07:00:00+07:00,7.19,m     , O
LA,150609,HH,M,2009-09-09T07:00:00+07:00,5.25,m     , O
LA,150609,HH,M,2009-09-10T07:00:00+07:00,4.71,m     , O
LA,150609,HH,M,2009-09-11T07:00:00+07:00,4.48,m     , O
LA,150609,HH,M,2009-09-12T07:00:00+07:00,3.85,m     , O
LA,150609,HH,M,2009-09-13T07:00:00+07:00,3.56,m     , O
LA,150609,HH,M,2009-09-14T07:00:00+07:00,3.2,m     , O
LA,150609,HH,M,2009-09-15T07:00:00+07:00,3,m     , O
LA,150609,HH,M,2009-09-16T07:00:00+07:00,2.91,m     , O
LA,150609,HH,M,2009-09-17T07:00:00+07:00,2.86,m     , O
LA,150609,HH,M,2009-09-18T07:00:00+07:00,2.66,m     , O
LA,150609,HH,M,2009-09-19T07:00:00+07:00,2.57,m     , O
LA,150609,HH,M,2009-09-20T07:00:00+07:00,2.48,m     , O
LA,150609,HH,M,2009-09-21T07:00:00+07:00,2.32,m     , O
LA,150609,HH,M,2009-09-22T07:00:00+07:00,2.2,m     , O
LA,150609,HH,M,2009-09-23T07:00:00+07:00,2.23,m     , O
LA,150609,HH,M,2009-09-24T07:00:00+07:00,2.7,m     , O
LA,150609,HH,M,2009-09-25T07:00:00+07:00,3.36,m     , O
LA,150609,HH,M,2009-09-26T07:00:00+07:00,3.06,m     , O
LA,150609,HH,M,2009-09-27T07:00:00+07:00,3.3,m     , O
LA,150609,HH,M,2009-09-28T07:00:00+07:00,3.66,m     , O
LA,150609,HH,M,2009-09-29T07:00:00+07:00,15.04,m     , O
LA,150609,HH,M,2009-09-30T07:00:00+07:00,16.3,m     , O
LA,150609,HH,M,2009-10-01T07:00:00+07:00,11.32,m     , E
LA,150609,HH,M,2009-10-02T07:00:00+07:00,4.75,m     , O
LA,150609,HH,M,2009-10-03T07:00:00+07:00,6.42,m     , O
LA,150609,HH,M,2009-10-04T07:00:00+07:00,6.54,m     , O
LA,150609,HH,M,2009-10-05T07:00:00+07:00,4.88,m     , O
LA,150609,HH,M,2009-10-06T07:00:00+07:00,4.51,m     , O
LA,150609,HH,M,2009-10-07T07:00:00+07:00,4.19,m     , O
LA,150609,HH,M,2009-10-08T07:00:00+07:00,3.83,m     , O
LA,150609,HH,M,2009-10-09T07:00:00+07:00,3.71,m     , O
LA,150609,HH,M,2009-10-10T07:00:00+07:00,3.3,m     , O
LA,150609,HH,M,2009-10-11T07:00:00+07:00,2.9,m     , O
LA,150609,HH,M,2009-10-12T07:00:00+07:00,2.63,m     , O
LA,150609,HH,M,2009-10-13T07:00:00+07:00,2.41,m     , O
LA,150609,HH,M,2009-10-14T07:00:00+07:00,2.15,m     , O
LA,150609,HH,M,2009-10-15T07:00:00+07:00,1.96,m     , O
LA,150609,HH,M,2009-10-16T07:00:00+07:00,1.85,m     , O
LA,150609,HH,M,2009-10-17T07:00:00+07:00,1.82,m     , O
LA,150609,HH,M,2009-10-18T07:00:00+07:00,1.99,m     , O
LA,150609,HH,M,2009-10-19T07:00:00+07:00,3.83,m     , O
LA,150609,HH,M,2009-10-20T07:00:00+07:00,5.41,m     , O
LA,150609,HH,M,2009-10-21T07:00:00+07:00,5.31,m     , O
LA,150609,HH,M,2009-10-22T07:00:00+07:00,5.11,m     , O
LA,150609,HH,M,2009-10-23T07:00:00+07:00,6.7,m     , O
LA,150609,HH,M,2009-10-24T07:00:00+07:00,8.21,m     , O
LA,150609,HH,M,2009-10-25T07:00:00+07:00,6.76,m     , O
LA,150609,HH,M,2009-10-26T07:00:00+07:00,6.285,m     , E
LA,150609,HH,M,2009-10-27T07:00:00+07:00,5.53,m     , O
LA,150609,HH,M,2009-10-28T07:00:00+07:00,5.25,m     , O
LA,150609,HH,M,2009-10-29T07:00:00+07:00,4.9,m     , O
LA,150609,HH,M,2009-10-30T07:00:00+07:00,4.75,m     , O
LA,150609,HH,M,2009-10-31T07:00:00+07:00,4.52,m     , O
LA,150609,HH,M,2009-11-01T07:00:00+07:00,4.4,m     , O
LA,150609,HH,M,2009-11-02T07:00:00+07:00,4.54,m     , O
LA,150609,HH,M,2009-11-03T07:00:00+07:00,5.56,m     , O
LA,150609,HH,M,2009-11-04T07:00:00+07:00,7.06,m     , O
LA,150609,HH,M,2009-11-05T07:00:00+07:00,6.67,m     , O
LA,150609,HH,M,2009-11-06T07:00:00+07:00,5.65,m     , O
LA,150609,HH,M,2009-11-07T07:00:00+07:00,3.81,m     , O
LA,150609,HH,M,2009-11-08T07:00:00+07:00,3.21,m     , O
LA,150609,HH,M,2009-11-09T07:00:00+07:00,3.05,m     , O
LA,150609,HH,M,2009-11-10T07:00:00+07:00,2.83,m     , O
LA,150609,HH,M,2009-11-11T07:00:00+07:00,2.53,m     , O
LA,150609,HH,M,2009-11-12T07:00:00+07:00,2.14,m     , O
LA,150609,HH,M,2009-11-13T07:00:00+07:00,1.98,m     , O
LA,150609,HH,M,2009-11-14T07:00:00+07:00,1.92,m     , O
LA,150609,HH,M,2009-11-15T07:00:00+07:00,1.78,m     , O
LA,150609,HH,M,2009-11-16T07:00:00+07:00,1.63,m     , O
LA,150609,HH,M,2009-11-17T07:00:00+07:00,1.58,m     , O
LA,150609,HH,M,2009-11-18T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-11-19T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-11-20T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-11-21T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-11-22T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-11-23T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2009-11-24T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-11-25T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-11-26T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-11-27T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-11-28T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-11-29T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2009-11-30T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-01T07:00:00+07:00,1.48,m     , O
LA,150609,HH,M,2009-12-02T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-03T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-04T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-05T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-06T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-07T07:00:00+07:00,1.48,m     , O
LA,150609,HH,M,2009-12-08T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-09T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-12-10T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2009-12-11T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2009-12-12T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-13T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-14T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-15T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2009-12-16T07:00:00+07:00,1.48,m     , O
LA,150609,HH,M,2009-12-17T07:00:00+07:00,1.48,m     , O
LA,150609,HH,M,2009-12-18T07:00:00+07:00,1.48,m     , O
LA,150609,HH,M,2009-12-19T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2009-12-20T07:00:00+07:00,1.55,m     , O
LA,150609,HH,M,2009-12-21T07:00:00+07:00,1.55,m     , O
LA,150609,HH,M,2009-12-22T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-12-23T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-12-24T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-12-25T07:00:00+07:00,1.54,m     , O
LA,150609,HH,M,2009-12-26T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-12-27T07:00:00+07:00,1.53,m     , O
LA,150609,HH,M,2009-12-28T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2009-12-29T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-30T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2009-12-31T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2010-01-01T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2010-01-02T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2010-01-03T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2010-01-04T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2010-01-05T07:00:00+07:00,1.52,m     , O
LA,150609,HH,M,2010-01-06T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2010-01-07T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2010-01-08T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2010-01-09T07:00:00+07:00,1.51,m     , O
LA,150609,HH,M,2010-01-10T07:00:00+07:00,1.5,m     , O
LA,150609,HH,M,2010-01-11T07:00:00+07:00,1.49,m     , O
LA,150609,HH,M,2010-01-12T07:00:00+07:00,1.49,m     , O
