VN,450701,HH,M,2000-01-01T07:00:00+07:00,25.83,m     , O
VN,450701,HH,M,2000-03-10T07:00:00+07:00,25.15,m     , O
VN,450701,HH,M,2000-03-11T07:00:00+07:00,25.14,m     , O
VN,450701,HH,M,2000-03-12T07:00:00+07:00,25.23,m     , O
VN,450701,HH,M,2000-03-13T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-03-14T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-03-15T07:00:00+07:00,25.28,m     , O
VN,450701,HH,M,2000-03-16T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-03-17T07:00:00+07:00,25.17,m     , O
VN,450701,HH,M,2000-03-18T07:00:00+07:00,25.17,m     , O
VN,450701,HH,M,2000-03-19T07:00:00+07:00,25.14,m     , O
VN,450701,HH,M,2000-03-20T07:00:00+07:00,25.12,m     , O
VN,450701,HH,M,2000-03-21T07:00:00+07:00,25.11,m     , O
VN,450701,HH,M,2000-03-22T07:00:00+07:00,25.1,m     , O
VN,450701,HH,M,2000-03-23T07:00:00+07:00,25.09,m     , O
VN,450701,HH,M,2000-03-24T07:00:00+07:00,25.09,m     , O
VN,450701,HH,M,2000-03-25T07:00:00+07:00,25.08,m     , O
VN,450701,HH,M,2000-03-26T07:00:00+07:00,25.07,m     , O
VN,450701,HH,M,2000-03-27T07:00:00+07:00,25.07,m     , O
VN,450701,HH,M,2000-03-28T07:00:00+07:00,25.07,m     , O
VN,450701,HH,M,2000-03-29T07:00:00+07:00,25.07,m     , O
VN,450701,HH,M,2000-03-30T07:00:00+07:00,25.07,m     , O
VN,450701,HH,M,2000-03-31T07:00:00+07:00,25.06,m     , O
VN,450701,HH,M,2000-04-01T07:00:00+07:00,25.12,m     , O
VN,450701,HH,M,2000-04-02T07:00:00+07:00,25.19,m     , O
VN,450701,HH,M,2000-04-03T07:00:00+07:00,25.16,m     , O
VN,450701,HH,M,2000-04-04T07:00:00+07:00,25.14,m     , O
VN,450701,HH,M,2000-04-05T07:00:00+07:00,25.14,m     , O
VN,450701,HH,M,2000-04-06T07:00:00+07:00,25.1,m     , O
VN,450701,HH,M,2000-04-07T07:00:00+07:00,25.06,m     , O
VN,450701,HH,M,2000-04-08T07:00:00+07:00,25.06,m     , O
VN,450701,HH,M,2000-04-09T07:00:00+07:00,25.06,m     , O
VN,450701,HH,M,2000-04-10T07:00:00+07:00,25.1,m     , O
VN,450701,HH,M,2000-04-11T07:00:00+07:00,25.1,m     , O
VN,450701,HH,M,2000-04-12T07:00:00+07:00,25.11,m     , O
VN,450701,HH,M,2000-04-13T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-04-14T07:00:00+07:00,25.18,m     , O
VN,450701,HH,M,2000-04-15T07:00:00+07:00,25.14,m     , O
VN,450701,HH,M,2000-04-16T07:00:00+07:00,25.51,m     , O
VN,450701,HH,M,2000-04-17T07:00:00+07:00,25.68,m     , O
VN,450701,HH,M,2000-04-18T07:00:00+07:00,25.65,m     , O
VN,450701,HH,M,2000-04-19T07:00:00+07:00,25.44,m     , O
VN,450701,HH,M,2000-04-20T07:00:00+07:00,25.35,m     , O
VN,450701,HH,M,2000-04-21T07:00:00+07:00,25.3,m     , O
VN,450701,HH,M,2000-04-22T07:00:00+07:00,25.28,m     , O
VN,450701,HH,M,2000-04-23T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-04-24T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-04-25T07:00:00+07:00,25.36,m     , O
VN,450701,HH,M,2000-04-26T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-04-27T07:00:00+07:00,25.26,m     , O
VN,450701,HH,M,2000-04-28T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-04-29T07:00:00+07:00,25.28,m     , O
VN,450701,HH,M,2000-04-30T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-05-01T07:00:00+07:00,25.27,m     , O
VN,450701,HH,M,2000-05-02T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-05-03T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-05-04T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-05-05T07:00:00+07:00,25.3,m     , O
VN,450701,HH,M,2000-05-06T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-05-07T07:00:00+07:00,25.35,m     , O
VN,450701,HH,M,2000-05-08T07:00:00+07:00,25.35,m     , O
VN,450701,HH,M,2000-05-09T07:00:00+07:00,25.33,m     , O
VN,450701,HH,M,2000-05-10T07:00:00+07:00,25.29,m     , O
VN,450701,HH,M,2000-05-11T07:00:00+07:00,25.44,m     , O
VN,450701,HH,M,2000-05-12T07:00:00+07:00,25.75,m     , O
VN,450701,HH,M,2000-05-13T07:00:00+07:00,25.61,m     , O
VN,450701,HH,M,2000-05-14T07:00:00+07:00,25.38,m     , O
VN,450701,HH,M,2000-05-15T07:00:00+07:00,25.31,m     , O
VN,450701,HH,M,2000-05-16T07:00:00+07:00,25.24,m     , O
VN,450701,HH,M,2000-05-17T07:00:00+07:00,25.2,m     , O
VN,450701,HH,M,2000-05-18T07:00:00+07:00,25.25,m     , O
VN,450701,HH,M,2000-05-19T07:00:00+07:00,25.33,m     , O
VN,450701,HH,M,2000-05-20T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-05-21T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-05-22T07:00:00+07:00,25.4,m     , O
VN,450701,HH,M,2000-05-23T07:00:00+07:00,25.32,m     , O
VN,450701,HH,M,2000-05-24T07:00:00+07:00,25.27,m     , O
VN,450701,HH,M,2000-05-25T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-05-26T07:00:00+07:00,25.61,m     , O
VN,450701,HH,M,2000-05-27T07:00:00+07:00,25.44,m     , O
VN,450701,HH,M,2000-05-28T07:00:00+07:00,25.3,m     , O
VN,450701,HH,M,2000-05-29T07:00:00+07:00,25.34,m     , O
VN,450701,HH,M,2000-05-30T07:00:00+07:00,25.49,m     , O
VN,450701,HH,M,2000-05-31T07:00:00+07:00,25.44,m     , O
VN,450701,HH,M,2000-06-01T07:00:00+07:00,25.89,m     , O
VN,450701,HH,M,2000-06-02T07:00:00+07:00,25.88,m     , O
VN,450701,HH,M,2000-06-03T07:00:00+07:00,25.7,m     , O
VN,450701,HH,M,2000-06-04T07:00:00+07:00,25.68,m     , O
VN,450701,HH,M,2000-06-05T07:00:00+07:00,25.7,m     , O
VN,450701,HH,M,2000-06-06T07:00:00+07:00,25.75,m     , O
VN,450701,HH,M,2000-06-07T07:00:00+07:00,25.74,m     , O
VN,450701,HH,M,2000-06-08T07:00:00+07:00,25.83,m     , O
VN,450701,HH,M,2000-06-09T07:00:00+07:00,26.02,m     , O
VN,450701,HH,M,2000-06-10T07:00:00+07:00,25.83,m     , O
VN,450701,HH,M,2000-06-11T07:00:00+07:00,25.6,m     , O
VN,450701,HH,M,2000-06-12T07:00:00+07:00,25.5,m     , O
VN,450701,HH,M,2000-06-13T07:00:00+07:00,25.54,m     , O
VN,450701,HH,M,2000-06-14T07:00:00+07:00,25.54,m     , O
VN,450701,HH,M,2000-06-15T07:00:00+07:00,25.8,m     , O
VN,450701,HH,M,2000-06-16T07:00:00+07:00,26.22,m     , O
VN,450701,HH,M,2000-06-17T07:00:00+07:00,26.22,m     , O
VN,450701,HH,M,2000-06-18T07:00:00+07:00,26.07,m     , O
VN,450701,HH,M,2000-06-19T07:00:00+07:00,25.93,m     , O
VN,450701,HH,M,2000-06-20T07:00:00+07:00,25.84,m     , O
VN,450701,HH,M,2000-06-21T07:00:00+07:00,25.7,m     , O
VN,450701,HH,M,2000-06-22T07:00:00+07:00,25.72,m     , O
VN,450701,HH,M,2000-06-23T07:00:00+07:00,25.68,m     , O
VN,450701,HH,M,2000-06-24T07:00:00+07:00,25.76,m     , O
VN,450701,HH,M,2000-06-25T07:00:00+07:00,25.76,m     , O
VN,450701,HH,M,2000-06-26T07:00:00+07:00,25.75,m     , O
VN,450701,HH,M,2000-06-27T07:00:00+07:00,25.87,m     , O
VN,450701,HH,M,2000-06-28T07:00:00+07:00,25.72,m     , O
VN,450701,HH,M,2000-06-29T07:00:00+07:00,25.65,m     , O
VN,450701,HH,M,2000-06-30T07:00:00+07:00,25.62,m     , O
VN,450701,HH,M,2000-07-01T07:00:00+07:00,25.88,m     , O
VN,450701,HH,M,2000-07-02T07:00:00+07:00,25.92,m     , O
VN,450701,HH,M,2000-07-03T07:00:00+07:00,26.29,m     , O
VN,450701,HH,M,2000-07-04T07:00:00+07:00,26.38,m     , O
VN,450701,HH,M,2000-07-05T07:00:00+07:00,26.66,m     , O
VN,450701,HH,M,2000-07-06T07:00:00+07:00,26.72,m     , O
VN,450701,HH,M,2000-07-07T07:00:00+07:00,26.37,m     , O
VN,450701,HH,M,2000-07-08T07:00:00+07:00,26.43,m     , O
VN,450701,HH,M,2000-07-09T07:00:00+07:00,26.44,m     , O
VN,450701,HH,M,2000-07-10T07:00:00+07:00,26.18,m     , O
VN,450701,HH,M,2000-07-11T07:00:00+07:00,26.1,m     , O
VN,450701,HH,M,2000-07-12T07:00:00+07:00,26.43,m     , O
VN,450701,HH,M,2000-07-13T07:00:00+07:00,26.94,m     , O
VN,450701,HH,M,2000-07-14T07:00:00+07:00,26.74,m     , O
VN,450701,HH,M,2000-07-15T07:00:00+07:00,27,m     , O
VN,450701,HH,M,2000-07-16T07:00:00+07:00,26.93,m     , O
VN,450701,HH,M,2000-07-17T07:00:00+07:00,26.92,m     , O
VN,450701,HH,M,2000-07-18T07:00:00+07:00,26.89,m     , O
VN,450701,HH,M,2000-07-19T07:00:00+07:00,26.69,m     , O
VN,450701,HH,M,2000-07-20T07:00:00+07:00,26.52,m     , O
VN,450701,HH,M,2000-07-21T07:00:00+07:00,26.42,m     , O
VN,450701,HH,M,2000-07-22T07:00:00+07:00,26.34,m     , O
VN,450701,HH,M,2000-07-23T07:00:00+07:00,26.31,m     , O
VN,450701,HH,M,2000-07-24T07:00:00+07:00,26.28,m     , O
VN,450701,HH,M,2000-07-25T07:00:00+07:00,26.28,m     , O
VN,450701,HH,M,2000-07-26T07:00:00+07:00,26.57,m     , O
VN,450701,HH,M,2000-07-27T07:00:00+07:00,26.29,m     , O
VN,450701,HH,M,2000-07-28T07:00:00+07:00,26.35,m     , O
VN,450701,HH,M,2000-07-29T07:00:00+07:00,26.13,m     , O
VN,450701,HH,M,2000-07-30T07:00:00+07:00,26,m     , O
VN,450701,HH,M,2000-07-31T07:00:00+07:00,25.91,m     , O
VN,450701,HH,M,2000-08-01T07:00:00+07:00,25.98,m     , O
VN,450701,HH,M,2000-08-02T07:00:00+07:00,26.05,m     , O
VN,450701,HH,M,2000-08-03T07:00:00+07:00,25.91,m     , O
VN,450701,HH,M,2000-08-04T07:00:00+07:00,25.92,m     , O
VN,450701,HH,M,2000-08-05T07:00:00+07:00,25.82,m     , O
VN,450701,HH,M,2000-08-06T07:00:00+07:00,25.77,m     , O
VN,450701,HH,M,2000-08-07T07:00:00+07:00,26.02,m     , O
VN,450701,HH,M,2000-08-08T07:00:00+07:00,26.01,m     , O
VN,450701,HH,M,2000-08-09T07:00:00+07:00,25.94,m     , O
VN,450701,HH,M,2000-08-10T07:00:00+07:00,25.91,m     , O
VN,450701,HH,M,2000-08-11T07:00:00+07:00,25.82,m     , O
VN,450701,HH,M,2000-08-12T07:00:00+07:00,25.72,m     , O
VN,450701,HH,M,2000-08-13T07:00:00+07:00,25.67,m     , O
VN,450701,HH,M,2000-08-14T07:00:00+07:00,25.75,m     , O
VN,450701,HH,M,2000-08-15T07:00:00+07:00,25.74,m     , O
VN,450701,HH,M,2000-08-16T07:00:00+07:00,25.74,m     , O
VN,450701,HH,M,2000-08-17T07:00:00+07:00,25.86,m     , O
VN,450701,HH,M,2000-08-18T07:00:00+07:00,26.81,m     , O
VN,450701,HH,M,2000-08-19T07:00:00+07:00,26.45,m     , O
VN,450701,HH,M,2000-08-20T07:00:00+07:00,26.56,m     , O
VN,450701,HH,M,2000-08-21T07:00:00+07:00,26.35,m     , O
VN,450701,HH,M,2000-08-22T07:00:00+07:00,26.75,m     , O
VN,450701,HH,M,2000-08-23T07:00:00+07:00,27.3,m     , O
VN,450701,HH,M,2000-08-24T07:00:00+07:00,27.3,m     , O
VN,450701,HH,M,2000-08-25T07:00:00+07:00,27.15,m     , O
VN,450701,HH,M,2000-08-26T07:00:00+07:00,26.95,m     , O
VN,450701,HH,M,2000-08-27T07:00:00+07:00,26.85,m     , O
VN,450701,HH,M,2000-08-28T07:00:00+07:00,26.76,m     , O
VN,450701,HH,M,2000-08-29T07:00:00+07:00,27.04,m     , O
VN,450701,HH,M,2000-08-30T07:00:00+07:00,27.74,m     , O
VN,450701,HH,M,2000-08-31T07:00:00+07:00,28.35,m     , O
VN,450701,HH,M,2000-09-01T07:00:00+07:00,28.58,m     , O
VN,450701,HH,M,2000-09-02T07:00:00+07:00,28.44,m     , O
VN,450701,HH,M,2000-09-03T07:00:00+07:00,28.19,m     , O
VN,450701,HH,M,2000-09-04T07:00:00+07:00,28.12,m     , O
VN,450701,HH,M,2000-09-05T07:00:00+07:00,27.78,m     , O
VN,450701,HH,M,2000-09-06T07:00:00+07:00,27.77,m     , O
VN,450701,HH,M,2000-09-07T07:00:00+07:00,27.65,m     , O
VN,450701,HH,M,2000-09-08T07:00:00+07:00,27.58,m     , O
VN,450701,HH,M,2000-09-09T07:00:00+07:00,27.42,m     , O
VN,450701,HH,M,2000-09-10T07:00:00+07:00,27.59,m     , O
VN,450701,HH,M,2000-09-11T07:00:00+07:00,27.34,m     , O
VN,450701,HH,M,2000-09-12T07:00:00+07:00,27.21,m     , O
VN,450701,HH,M,2000-09-13T07:00:00+07:00,27.28,m     , O
VN,450701,HH,M,2000-09-14T07:00:00+07:00,27.37,m     , O
VN,450701,HH,M,2000-09-15T07:00:00+07:00,27.48,m     , O
VN,450701,HH,M,2000-09-16T07:00:00+07:00,27.51,m     , O
VN,450701,HH,M,2000-09-17T07:00:00+07:00,28.02,m     , O
VN,450701,HH,M,2000-09-18T07:00:00+07:00,27.6,m     , O
VN,450701,HH,M,2000-09-19T07:00:00+07:00,27.59,m     , O
VN,450701,HH,M,2000-09-20T07:00:00+07:00,27.75,m     , O
VN,450701,HH,M,2000-09-21T07:00:00+07:00,27.64,m     , O
VN,450701,HH,M,2000-09-22T07:00:00+07:00,27.34,m     , O
VN,450701,HH,M,2000-09-23T07:00:00+07:00,27.18,m     , O
VN,450701,HH,M,2000-09-24T07:00:00+07:00,27.22,m     , O
VN,450701,HH,M,2000-09-25T07:00:00+07:00,27.16,m     , O
VN,450701,HH,M,2000-09-26T07:00:00+07:00,27.49,m     , O
VN,450701,HH,M,2000-09-27T07:00:00+07:00,27.65,m     , O
VN,450701,HH,M,2000-09-28T07:00:00+07:00,27.63,m     , O
VN,450701,HH,M,2000-09-29T07:00:00+07:00,27.62,m     , O
VN,450701,HH,M,2000-09-30T07:00:00+07:00,27.49,m     , O
VN,450701,HH,M,2000-10-01T07:00:00+07:00,27.27,m     , O
VN,450701,HH,M,2000-10-02T07:00:00+07:00,27.13,m     , O
VN,450701,HH,M,2000-10-03T07:00:00+07:00,27.18,m     , O
VN,450701,HH,M,2000-10-04T07:00:00+07:00,26.96,m     , O
VN,450701,HH,M,2000-10-05T07:00:00+07:00,27,m     , O
VN,450701,HH,M,2000-10-06T07:00:00+07:00,26.83,m     , O
VN,450701,HH,M,2000-10-07T07:00:00+07:00,27.6,m     , O
VN,450701,HH,M,2000-10-08T07:00:00+07:00,29.87,m     , O
VN,450701,HH,M,2000-10-09T07:00:00+07:00,29.32,m     , O
VN,450701,HH,M,2000-10-10T07:00:00+07:00,33.67,m     , O
VN,450701,HH,M,2000-10-11T07:00:00+07:00,33,m     , O
VN,450701,HH,M,2000-10-12T07:00:00+07:00,31.32,m     , O
VN,450701,HH,M,2000-10-13T07:00:00+07:00,30.42,m     , O
VN,450701,HH,M,2000-10-14T07:00:00+07:00,30.53,m     , O
VN,450701,HH,M,2000-10-15T07:00:00+07:00,30.48,m     , O
VN,450701,HH,M,2000-10-16T07:00:00+07:00,29.96,m     , O
VN,450701,HH,M,2000-10-17T07:00:00+07:00,29.96,m     , O
VN,450701,HH,M,2000-10-18T07:00:00+07:00,29.67,m     , O
VN,450701,HH,M,2000-10-19T07:00:00+07:00,29.33,m     , O
VN,450701,HH,M,2000-10-20T07:00:00+07:00,29.09,m     , O
VN,450701,HH,M,2000-10-21T07:00:00+07:00,28.94,m     , O
VN,450701,HH,M,2000-10-22T07:00:00+07:00,28.85,m     , O
VN,450701,HH,M,2000-10-23T07:00:00+07:00,29.2,m     , O
VN,450701,HH,M,2000-10-24T07:00:00+07:00,28.8,m     , O
VN,450701,HH,M,2000-10-25T07:00:00+07:00,28.59,m     , O
VN,450701,HH,M,2000-10-26T07:00:00+07:00,28.43,m     , O
VN,450701,HH,M,2000-10-27T07:00:00+07:00,28.32,m     , O
VN,450701,HH,M,2000-10-28T07:00:00+07:00,28.22,m     , O
VN,450701,HH,M,2000-10-29T07:00:00+07:00,28.12,m     , O
VN,450701,HH,M,2000-10-30T07:00:00+07:00,28.04,m     , O
VN,450701,HH,M,2000-10-31T07:00:00+07:00,27.97,m     , O
VN,450701,HH,M,2000-11-01T07:00:00+07:00,27.92,m     , O
VN,450701,HH,M,2000-11-02T07:00:00+07:00,27.86,m     , O
VN,450701,HH,M,2000-11-03T07:00:00+07:00,27.75,m     , O
VN,450701,HH,M,2000-11-04T07:00:00+07:00,27.68,m     , O
VN,450701,HH,M,2000-11-05T07:00:00+07:00,27.62,m     , O
VN,450701,HH,M,2000-11-06T07:00:00+07:00,27.56,m     , O
VN,450701,HH,M,2000-11-07T07:00:00+07:00,27.51,m     , O
VN,450701,HH,M,2000-11-08T07:00:00+07:00,27.46,m     , O
VN,450701,HH,M,2000-11-09T07:00:00+07:00,27.41,m     , O
VN,450701,HH,M,2000-11-10T07:00:00+07:00,27.37,m     , O
VN,450701,HH,M,2000-11-11T07:00:00+07:00,27.36,m     , O
VN,450701,HH,M,2000-11-12T07:00:00+07:00,27.41,m     , O
VN,450701,HH,M,2000-11-13T07:00:00+07:00,27.44,m     , O
VN,450701,HH,M,2000-11-14T07:00:00+07:00,27.38,m     , O
VN,450701,HH,M,2000-11-15T07:00:00+07:00,27.26,m     , O
VN,450701,HH,M,2000-11-16T07:00:00+07:00,27.34,m     , O
VN,450701,HH,M,2000-11-17T07:00:00+07:00,28.94,m     , O
VN,450701,HH,M,2000-11-18T07:00:00+07:00,28.58,m     , E
VN,450701,HH,M,2000-11-19T07:00:00+07:00,28.225,m     , E
VN,450701,HH,M,2000-11-20T07:00:00+07:00,27.9075,m     , E
VN,450701,HH,M,2000-11-21T07:00:00+07:00,27.46,m     , O
VN,450701,HH,M,2000-11-22T07:00:00+07:00,27.38,m     , O
VN,450701,HH,M,2000-11-23T07:00:00+07:00,27.32,m     , O
VN,450701,HH,M,2000-11-24T07:00:00+07:00,27.81,m     , O
VN,450701,HH,M,2000-11-25T07:00:00+07:00,28.31,m     , O
VN,450701,HH,M,2000-11-26T07:00:00+07:00,27.78,m     , O
VN,450701,HH,M,2000-11-27T07:00:00+07:00,27.52,m     , O
VN,450701,HH,M,2000-11-28T07:00:00+07:00,27.33,m     , O
VN,450701,HH,M,2000-11-29T07:00:00+07:00,27.3,m     , O
VN,450701,HH,M,2000-11-30T07:00:00+07:00,27.2,m     , O
VN,450701,HH,M,2000-12-01T07:00:00+07:00,27.14,m     , O
VN,450701,HH,M,2000-12-02T07:00:00+07:00,27.06,m     , O
VN,450701,HH,M,2000-12-03T07:00:00+07:00,27.01,m     , O
VN,450701,HH,M,2000-12-04T07:00:00+07:00,26.98,m     , O
VN,450701,HH,M,2000-12-05T07:00:00+07:00,26.94,m     , O
VN,450701,HH,M,2000-12-06T07:00:00+07:00,26.94,m     , O
VN,450701,HH,M,2000-12-07T07:00:00+07:00,27.59,m     , O
VN,450701,HH,M,2000-12-08T07:00:00+07:00,28.61,m     , O
VN,450701,HH,M,2000-12-09T07:00:00+07:00,28.32,m     , E
VN,450701,HH,M,2000-12-10T07:00:00+07:00,27.93,m     , E
VN,450701,HH,M,2000-12-11T07:00:00+07:00,27.32,m     , O
VN,450701,HH,M,2000-12-12T07:00:00+07:00,27.18,m     , O
VN,450701,HH,M,2000-12-13T07:00:00+07:00,27.18,m     , O
VN,450701,HH,M,2000-12-14T07:00:00+07:00,27.12,m     , O
VN,450701,HH,M,2000-12-15T07:00:00+07:00,26.98,m     , O
VN,450701,HH,M,2000-12-16T07:00:00+07:00,26.94,m     , O
VN,450701,HH,M,2000-12-17T07:00:00+07:00,26.9,m     , O
VN,450701,HH,M,2000-12-18T07:00:00+07:00,26.86,m     , O
VN,450701,HH,M,2000-12-19T07:00:00+07:00,26.84,m     , O
VN,450701,HH,M,2000-12-20T07:00:00+07:00,26.8,m     , O
VN,450701,HH,M,2000-12-21T07:00:00+07:00,26.77,m     , O
VN,450701,HH,M,2000-12-22T07:00:00+07:00,26.76,m     , O
VN,450701,HH,M,2000-12-23T07:00:00+07:00,26.73,m     , O
VN,450701,HH,M,2000-12-24T07:00:00+07:00,26.68,m     , O
VN,450701,HH,M,2000-12-25T07:00:00+07:00,26.66,m     , O
VN,450701,HH,M,2000-12-26T07:00:00+07:00,26.64,m     , O
VN,450701,HH,M,2000-12-27T07:00:00+07:00,26.64,m     , O
VN,450701,HH,M,2000-12-28T07:00:00+07:00,26.63,m     , O
VN,450701,HH,M,2000-12-29T07:00:00+07:00,26.62,m     , O
VN,450701,HH,M,2000-12-30T07:00:00+07:00,26.61,m     , O
VN,450701,HH,M,2000-12-31T07:00:00+07:00,26.6,m     , O
VN,450701,HH,M,2001-01-01T07:00:00+07:00,26.54,m     , O
VN,450701,HH,M,2001-01-02T07:00:00+07:00,26.52,m     , O
VN,450701,HH,M,2001-01-03T07:00:00+07:00,26.5,m     , O
VN,450701,HH,M,2001-01-04T07:00:00+07:00,26.49,m     , O
VN,450701,HH,M,2001-01-05T07:00:00+07:00,26.48,m     , O
VN,450701,HH,M,2001-01-06T07:00:00+07:00,26.46,m     , O
VN,450701,HH,M,2001-01-07T07:00:00+07:00,26.44,m     , O
VN,450701,HH,M,2001-01-08T07:00:00+07:00,26.42,m     , O
VN,450701,HH,M,2001-01-09T07:00:00+07:00,26.4,m     , O
VN,450701,HH,M,2001-01-10T07:00:00+07:00,26.36,m     , O
VN,450701,HH,M,2001-01-11T07:00:00+07:00,26.35,m     , O
